,founder,event_count,follow_count,fan_count
198,可你怎么总是忘记我很爱你,240,30,20055
199,不知名追星少女,1,27,102
200,宇宙播报机,23,97,1125
201,蝶影丛虫,0.01,53,20934
202,Hu-cares_,1,1,44
203,传说中的蛙神,0.01,27,20
204,节奏水枪Beat_WaterPistol,0.01,11,1515
205,鱼骨与飞鸟集,73,6,12073
206,酒心怪獸,518,10,815
207,YoakeNatsu,20,75,4767
208,麦月二七_,13,17,71
209,hhhiiiioo,0.01,4,4
210,流亡大街,3,180,4572
211,Monstercat,1111,50,83090
212,含着别吐,17,0.01,319
213,OedoKuipers,20,72,127
214,喝勺你的蛋白粉,1,5,669
215,望你眼中风起,553,43,11428
216,ClairoToday,964,130,4484
217,吴爱星双子,0.01,2,429
218,乐瑥x,15,62,349
219,正在高考的VY,0.01,56,8249
220,Aog君,4,7,746
221,幽情花儿开,0.01,4,21
222,自问归处,0.01,3,51
223,哔哩哔哩音乐娘,43,78,22394
224,喜欢就关注鸭,78,13,9064
225,无法阻止自己堕落但浪漫不死,5,4,170
226,salaMu_,29,113,633
227,拯救世人的逗比,0.01,24,64
228,空气很颓废,678,70,46345
229,听说你也在等雨晴,1,3,479
230,TRIPHOPP,161,61,406
231,执白j,14,21,59
232,宇智波Show,11,39,1274
233,雪佛兰迈锐宝XL,0.01,2,99
234,LARE季风,0.01,25,87
235,-crystall-,8,5,137
236,阡屿_,3,7,48
237,原创君,7563,748,529072
238,xylitol-x,2,17,256
239,LovelyWICK,288,337,1727
240,百龄容与,14,44,145
241,长夜看海,16,11,11918
242,Re-End,1,19,149
243,Spyromun_,5,87,7044
244,郭峰瑞Rui,5,9,1188
245,-XxxGreyen-,115,67,7454
246,吳-文-樂,37,1041,207
247,MusicalTimes,5035,111,30564
248,小石头叔蜀,3,21,94
249,硬地原创音乐榜,56,40,8135
250,烈雨,836,325,80667
251,国风堂音乐企划,139,16,358793
252,会是猫的薛定谔,19,13,179
253,HHHHalsey,28,132,141
254,YellG-,10,127,88
255,冻鲫鱼,46,65,659
256,六年网易人,330,24,4390
257,浩酱w,0.01,1,397
258,你今天真真真好看,27,43,2779
259,宝藏男孩Simon,65,93,1161
260,隐匿于蓝,12,30,2320
261,Eliaukjuly,14,82,30
262,好色痞和尚啸先生,7,18,140
263,LeoOfficial,112,85,8444
264,生活委员,2053,116,11230
265,糯米小鲶鱼,0.01,11,69
266,苏打_苏打绿,9,14,611
267,何木期,0.01,3,571
268,夢燈籠-Cc,6,19,65
269,修行者之虚无,5,8,44
270,喜恶灵_,1,0.01,85
271,G1ockieD,4,7,63
272,2020最流行抖音歌曲,8,5,42
273,A-Yari,143,219,7790
274,EdgarBob,0.01,27,27
275,早安达人,18,0.01,3
276,湫川,11,23,96
277,佐仓小小千代,543,437,63077
278,剑仙xg,9,4,323055
279,池予xing,0.01,54,52
280,心动TroyeSivan,16,165,45
281,峯哥牛逼,19,13,719
282,小羊爱喝安慕希,3,9,59
283,蜜糖男孩,80,16,6414
284,唯梦小战神,0.01,11,53
285,__八臂哪吒,1,1,133
286,你说是吧张小姐,0.01,13,204
287,CohenPu24,19,75,76
288,摇滾乌托邦,8,55,28192
289,盼你多添一笔,2,1,93
290,Avendure,16,19,103
291,-秦琅-,0.01,6,36
292,XXXSUICIDE,11,28,144
293,辭別九州190127,30,18,28
294,爱听歌的狗大叔,48,10,17838
295,归航有时,12,25,149
296,是在偷看月亮吗,12,58,42
297,陈易大叔,0.01,4,38
298,战1辞噗噗噗,0.01,0.01,196
299,钟泽希,33,54,22916
300,君子别动口,10,11,63
301,橘子味儿的小笼包,10,5,14
302,GnaScheY,16,17,225
303,小小洛NaMI,36,160,41
304,西门子家电,0.01,0.01,101
305,Spectual,3448,672,31177
306,Nurfefe-official,753,6,11243
307,顾奈文案馆,115,75,3997
308,音乐收藏者010,0.01,73,80
309,海绵宝宝不喜欢黄色,13,27,13
310,Galaxy银河映像,37,7,170
311,沐歌0720,654,357,187
312,纸长情短1998,20,25,26
313,i看美剧,59,24,5325
314,fantab01,35,28,169
315,贩卖故事的少年,222,19,2570
316,浪漫仅供参考,57,44,1342
317,KarmaTenzing,3,5,515
318,ChelseaLucifer,0.01,56,5
319,后原,38,0.01,6381
320,TJ_KING,101,12,1787
321,_wy彩x,16,21,42
322,是社长吖,3334,55,173792
323,后现代养猪专业户,12,70,262
324,糊里糊涂的傻妮,5,17,64
325,奈小乐_CIwd,2,57,66
326,小晗爱吃鳗鱼饭,1,178,1099
327,抖音热门中文DJU盘,10,9,45
328,白搭a,2,19,21
329,Kite汐倾,1,36,117
330,隔壁佬郝人,12,25,131
331,秋月和诗,40,46,2408
332,久我山不是山,10,1,516
333,羊羊小毛衣,0.01,13,3409
334,网易音乐人木然,222,5,2979
335,路游里,14,9,5060
336,叫我温老师,15,44,1181
337,予妳晚风,6,2,2760
338,稀饭奶盖-,20,25,1207
339,WandWOfficial,521,3,212068
340,野比沁沁,184,13,285
341,独行的棕鹿,925,30,111589
342,月溪影月晴,1,3,73
343,天不生沈小巍,0.01,2,49
344,鸭头_张辞慕,0.01,16,80
345,硬体PlagueOutbreak,251,88,2363
346,我自清欢丨被嫌弃的唐唐的一生,158,428,4891
347,你在我眼中真的很特别k,4,5,23
348,艾克-Aik,3,12,227
349,围豆,2,24,10
350,MaYX呢,3,19,50
351,井頸,1,6,47
352,loupurple,49,0.01,960
353,我没有熬夜,0.01,1,1189
354,云音乐樱花酱,407,10,33300
355,真草莓味鸡胸肉,219,92,4416
356,以顾淮,2,11,45
357,Hama啊,6,98,42
358,浪漫散文诗,49,99,1071
359,酥先生在吗,0.01,1,339
360,小街那愿,5,23,58
361,充气马桶,2,38,116
362,奈奈生晴子,25,29,40
363,烟紫色的猫,27,73,50
364,张斯麒,11,70,11673
365,AlexWernberg,104,337,562
366,鼻毛壮汉,115,72,36
367,会写情书的老太婆,33,0.01,273
368,王唯灿,29,59,658
369,流年忧光影,415,7,42911
370,YouTube热门日推,10574,327,373906
371,邓蕤桐,26,1,969
372,你喜欢阑珊吗,0.01,9,30
373,循光,429,374,9606
