,founder,event_count,follow_count,fan_count
0,云音乐智能推荐,-0.3018408047730092,-0.910547943422889,1.1514697070886049
1,KillBunny,-0.31531584070037566,-0.5735792757040403,0.2254669719585724
2,______飏,0.3988610634500478,2.239376559166349,-0.39717482194906795
3,孤单又灿烂的神丨鬼怪,0.14283538083008468,-0.26591223126509156,-0.359810430158422
4,chaz1,-0.17607380278425536,-0.13405492650554207,0.6052565641053129
5,Lscheese,-0.09522358722005647,0.4666283507324056,-0.33499890490111645
6,宸极Cody,-0.31980751934283114,0.6717397136917048,-0.4052491918285864
7,我鲁班不坑,-0.2030238746389883,-0.939849566702789,0.0058571871383105035
8,沐辰style,-0.31082416205792013,0.04175481317385726,-0.42218248574595696
9,Vxe-,-0.29285744748809817,0.4373267274525057,-0.4618351604984097
10,HUMAN00,0.3898777061651368,2.693551720004797,0.4305625048496595
11,RJH国荣,-0.31531584070037566,-0.8226430735831894,-0.43741591232027105
12,冷森Listen,-0.12217365907478943,0.7742953951713545,0.10078824029669707
13,3KALIA,-0.24344898242108776,-0.13405492650554207,-0.43980226455186955
14,宝藏男孩咕咕,-0.3018408047730092,-0.69078576882364,-0.4103814836143531
15,想养金毛的Apple,-0.2748907329182762,-0.5735792757040403,-0.1342184198808651
16,野猫不乖哦,-0.31980751934283114,-0.925198755062839,-0.4790299724685582
17,云音乐智能推荐,-0.3018408047730092,-0.910547943422889,1.1514697070886049
18,KillBunny,-0.31531584070037566,-0.5735792757040403,0.2254669719585724
19,______飏,0.3988610634500478,2.239376559166349,-0.39717482194906795
20,孤单又灿烂的神丨鬼怪,0.14283538083008468,-0.26591223126509156,-0.359810430158422
21,chaz1,-0.17607380278425536,-0.13405492650554207,0.6052565641053129
22,Lscheese,-0.09522358722005647,0.4666283507324056,-0.33499890490111645
23,宸极Cody,-0.31980751934283114,0.6717397136917048,-0.4052491918285864
24,我鲁班不坑,-0.2030238746389883,-0.939849566702789,0.0058571871383105035
25,沐辰style,-0.31082416205792013,0.04175481317385726,-0.42218248574595696
26,Vxe-,-0.29285744748809817,0.4373267274525057,-0.4618351604984097
27,HUMAN00,0.3898777061651368,2.693551720004797,0.4305625048496595
28,RJH国荣,-0.31531584070037566,-0.8226430735831894,-0.43741591232027105
29,冷森Listen,-0.12217365907478943,0.7742953951713545,0.10078824029669707
30,3KALIA,-0.24344898242108776,-0.13405492650554207,-0.43980226455186955
31,宝藏男孩咕咕,-0.3018408047730092,-0.69078576882364,-0.4103814836143531
32,想养金毛的Apple,-0.2748907329182762,-0.5735792757040403,-0.1342184198808651
33,野猫不乖哦,-0.31980751934283114,-0.925198755062839,-0.4790299724685582
34,mayuko然,6.085326224798702,-0.67613495718369,5.629574083831391
35,w柚w,-0.1536154095719779,-0.8372938852231394,-0.45912191070083874
36,爱打篮球的亮亮,-0.2883657688456427,-0.8079922619432395,-0.44248282459284327
37,Dexter_RV,-0.30633248341546465,-0.6321825222638402,-0.4775262436650851
38,茉瑾年,0.22368559639428356,-0.69078576882364,-0.25889715154274046
39,k二月来的洛瑶,-0.23895730377863225,0.9354543232108038,-0.4661502083692454
